date,avg_temperature,avg_airpressure,avg_precipitation
2007-09,21.5,1015.9,37
2007-10,19.3,1017.8,18
2007-11,15.0,1018.2,104
2007-12,11.7,1023.9,59
2008-01,13.3,1024.0,104
2008-02,13.8,1020.8,170
2008-03,13.9,1019.1,45
2008-04,16.6,1013.4,151
2008-05,16.7,1013.3,78
2008-06,21.7,1016.5,0
2008-07,22.2,1016.9,0
2008-08,21.8,1016.0,0
2008-09,20.7,1015.0,36
2008-10,17.9,1017.9,62
2008-11,13.1,1019.2,48
2009-01,10.7,1018.1,247
2009-02,12.3,1019.2,84
2009-03,16.1,1015.9,10
2009-04,14.5,1017.3,45
2009-05,18.5,1016.5,29
2009-06,21.8,1015.9,59
2009-07,21.9,1018.2,0
2009-08,23.5,1015.6,1
2009-09,21.7,1016.5,9
2009-10,20.5,1015.9,107
2009-11,15.8,1019.3,138
2009-12,12.3,1010.8,289
2010-01,11.5,1015.5,194
2010-02,11.1,1007.4,298
2010-03,13.4,1015.7,193
2010-04,17.1,1014.3,89
2010-05,18.1,1015.8,38
2010-06,20.4,1014.7,32
2010-07,24.2,1015.4,0
2010-08,25.0,1014.8,2
2010-09,25.0,1015.2,5
2010-10,17.5,1013.3,262
2010-11,13.9,1015.3,186
2011-01,11.2,1017.7,103
2011-02,12.7,1021.3,167
2011-03,13.7,1016.6,89
2011-04,18.7,1012.7,136
2011-05,20.5,1015.4,85
2011-06,21.2,1017.0,8
2011-07,21.3,1015.6,4
2011-08,22.1,1015.1,36
2011-09,21.9,1016.9,21
2011-10,20.7,1017.3,115
2011-11,14.7,1015.5,255
2011-12,12.2,1028.0,27
2012-01,11.7,1026.4,18
2012-02,11.0,1024.8,0
2012-03,15.5,1022.7,59
2012-04,13.8,1013.8,62
2012-05,19.3,1016.5,98
2012-06,20.9,1017.9,3
2012-07,21.9,1017.1,3
2012-08,22.8,1017.6,10
2012-09,22.6,1015.1,58
2012-10,18.0,1013.2,145
2012-11,13.6,1014.5,274
2012-12,13.6,1014.5,274
2013-01,12.2,1023.3,155
2013-02,11.3,1020.4,70
2013-03,12.7,1008.0,267
2013-04,15.4,1015.9,43
2013-05,16.8,1017.3,16
2013-06,20.5,1017.9,6
2013-07,23.1,1016.3,0
2013-08,24.0,1016.1,0
2013-09,22.1,1015.5,52
2013-10,18.9,1017.2,240
2013-11,13.9,1021.9,17
2013-12,11.7,1024.4,83
2014-01,12.6,1017.8,195
2014-02,12.0,1017.9,158
2014-03,13.7,1019.0,65
2014-04,16.0,1015.6,66
2014-05,18.5,1016.2,31
2014-06,20.5,1016.4,32
2014-07,22.0,1016.2,6
2014-08,22.2,1016.6,0
2014-09,21.5,1014.1,118
2014-10,20.8,1015.6,90
2014-11,15.1,1010.5,294
2014-12,11.6,1025.4,30
2015-01,10.9,1026.4,91
2015-02,11.2,1022.7,15
2015-03,14.0,1021.1,23
2015-04,16.7,1017.6,73
2015-05,20.1,1017.4,3
2015-06,22.2,1016.5,12
2015-07,22.7,1016.9,2
2015-08,22.8,1016.1,2
2015-09,20.5,1016.1,4
2015-10,18.5,1013.5,141
2015-11,16.0,1024.5,29
2015-12,13.9,1026.9,38
2016-01,13.5,1023.1,120
2016-02,12.6,1008.4,95
2016-03,12.8,1019.2,45
2016-04,14.6,1013.8,111
2016-05,17.2,1014.4,117
2016-06,21.6,1017.3,1
2016-07,24.3,1016.3,1
2016-08,24.7,1017.0,0
2016-09,22.6,1018.3,13
2016-10,18.9,1014.9,54
2016-11,14.7,1016.1,145
2016-12,12.8,1024.4,93
2017-01,11.1,1022.7,82
2017-02,13.2,1019.0,76
2017-03,14.4,1019.6,84
2017-04,18.3,1016.3,5
2017-05,19.7,1014.6,60
2017-07,22.7,1016.3,2
2017-08,23.2,1016.3,5
2017-09,21.0,1018.7,0
2017-10,21.3,1019.6,28
2017-11,15.1,1019.7,64
2017-12,12.2,1026.4,53
2018-01,12.1,1024.9,75
2018-02,11.7,1016.1,44
2018-03,12.7,1011.1,217
2018-04,14.8,1013.4,112
2018-05,17.4,1015.8,9
2018-06,19.9,1016.2,18
2018-07,21.2,1017.2,1
2018-08,24.9,1015.3,0
2018-09,23.7,1016.6,0
2018-10,18.9,1014.0,55
2018-11,14.1,1015.2,173
2018-12,12.9,1026.4,22
2019-01,11.4,1023.1,53
2019-02,13.2,1024.2,16
2019-03,15.5,1022.1,49
2019-04,15.1,1014.1,67
2019-05,20.4,1015.9,22
2019-06,19.4,,12
2019-07,21.8,,2
2019-08,22.7,,6
2019-09,22.4,,15
2019-10,18.6,,44
2019-11,15.0,,123
2019-12,13.5,,103
2020-01,12.2,,81
2020-02,14.5,,10
2020-07,24.6,,2
2020-08,22.9,,0
2020-09,22.4,,21
2020-10,17.6,,109
2020-11,15.5,,100
2020-12,12.5,,103
2021-05,18.1,,24
2021-10,20.0,1018.7,16
2021-11,13.9,1019.1,17
2021-12,13.8,1021.7,99
2022-01,12.0,1026.8,5
2022-02,13.8,1025.3,8
2022-03,13.8,1016.4,98
2022-04,15.1,1015.8,52
2022-05,20.4,1017.0,5
2022-06,20.5,1016.7,7
2022-07,24.8,1016.6,0
2022-08,22.3,1014.9,0
2022-09,21.5,1015.6,20
2022-10,20.1,1017.6,129
2022-11,15.9,1021.2,77
2022-12,14.8,1015.0,336
2023-01,12.0,1025.9,51
2023-02,12.3,1022.9,5
2023-03,15.0,1020.1,25
2023-06,22.6,1014.5,20
2023-07,22.8,1017.8,0
2023-08,24.5,1017.1,0
2023-09,21.4,1015.7,48
2023-10,20.4,1014.6,152
2023-11,15.9,1020.2,85
2023-12,12.5,1025.0,22
2024-01,13.5,1022.5,72
2024-02,14.8,1022.5,96
2024-03,14.5,1012.2,172
2024-04,18.4,1018.4,1
2024-05,19.6,1016.7,0
2024-06,20.1,1015.3,29
2024-07,23.4,1015.6,4
2024-08,23.7,1014.9,0
2024-09,21.2,1015.5,27
2024-10,19.1,1016.0,85
2024-11,16.7,1019.6,52
2024-12,12.7,1027.3,16
2025-01,13.1,1021.8,149
2025-02,13.3,1022.0,63
2025-03,13.3,1010.8,167
2025-04,16.2,1014.1,89
2025-05,18.9,1016.6,19
2025-06,22.6,1017.8,0
2025-07,23.8,1016.1,3
2025-08,24.1,1015.8,0
2025-09,21.2,1019.0,25
2025-10,20.6,1017.5,93
2025-11,14.8,1017.9,169
2025-12,12.2,1017.3,125
2026-01,11.9,1014.5,220
2026-02,13.5,1017.9,318
2026-03,14.9,1017.5,51
