date,avg_temperature,avg_airpressure,avg_precipitation
2016-04,9.7,1012.5,31
2016-05,16.1,1014.3,28
2016-08,18.8,1018.7,61
2016-09,16.4,1019.3,11
2016-10,7.6,1021.7,110
2016-11,3.2,1016.6,41
2016-12,1.3,1024.8,63
2017-01,-3.7,1022.7,19
2017-02,-0.8,1020.0,39
2017-03,6.2,1015.7,39
2017-04,7.7,1015.9,48
2017-05,14.6,1016.8,49
2017-06,18.5,1012.7,86
2017-07,19.0,1013.0,90
2017-08,19.7,1017.2,48
2017-09,14.0,1015.0,127
2017-10,10.0,1014.4,83
2017-11,4.9,1014.5,45
2017-12,2.5,1011.7,33
2018-01,0.8,1016.4,30
2018-02,-3.2,1020.6,7
2018-03,0.9,1009.5,19
2018-05,18.3,1017.8,35
2018-06,19.7,1014.6,22
2018-07,21.5,1012.3,85
2018-08,21.1,1016.9,63
2018-10,10.4,1018.5,52
2018-11,4.4,1024.9,11
2018-11,4.4,1024.9,11
2018-12,1.6,1017.0,51
2019-01,-1.7,1010.2,34
2019-02,3.2,1020.9,31
2019-03,6.1,1014.0,28
2019-04,10.6,1018.8,3
2019-05,13.6,1012.3,79
2019-06,23.0,1017.5,18
2019-08,21.2,1017.0,34
2019-09,14.7,1017.1,60
2019-10,11.2,1015.9,16
2019-12,3.3,1013.4,38
2020-01,2.5,1021.6,29
2020-02,4.0,1011.1,43
2020-03,5.0,1018.7,13
2020-04,9.5,1018.1,8
2020-05,12.0,1016.8,67
2020-07,19.3,1015.1,48
2020-08,20.7,1014.1,95
2020-09,15.7,1017.1,64
2020-10,10.8,1013.3,80
2020-11,5.8,1024.6,9
2020-12,1.9,1015.3,26
2021-01,-1.4,1010.3,31
2021-03,3.3,1019.1,18
2021-04,7.1,1015.4,58
2021-05,13.0,1011.5,65
2021-06,20.6,1017.0,56
2021-07,21.9,1013.7,154
2021-08,17.2,1013.5,171
2021-09,13.8,1018.8,32
2021-09,13.8,1018.8,32
2021-12,-0.9,1014.8,19
2022-01,1.0,1016.6,39
2022-02,3.4,1013.1,39
2022-03,3.6,1027.8,2
2022-05,14.2,1017.1,40
2022-06,19.8,1016.0,33
2022-07,19.5,1017.0,96
2022-07,19.5,1017.0,96
2022-08,22.0,1016.7,30
2022-09,12.5,1013.2,44
2022-10,11.2,1020.3,28
2022-11,4.2,1018.7,15
2022-12,0.6,1016.4,48
2023-01,3.4,1016.0,44
2023-02,1.4,1022.1,32
2023-03,4.5,1009.9,24
2023-04,9.2,1016.1,48
2023-05,14.0,1021.7,42
2023-06,18.9,1016.5,42
2023-07,20.9,1012.3,46
2023-08,21.1,1013.3,89
2023-09,18.4,1019.7,10
2023-10,11.0,1011.4,73
2023-11,3.9,1006.3,62
2023-12,2.1,1011.4,62
2024-01,-0.2,1016.0,66
2024-03,6.9,1013.2,31
2024-04,11.2,1014.0,44
2024-05,17.7,1016.5,18
2024-06,19.8,1013.6,44
2024-07,22.1,1014.1,54
2024-08,21.4,1015.3,103
2024-09,18.4,1016.5,25
2024-10,10.0,1019.9,28
2024-11,3.9,1020.8,28
2024-12,2.9,1021.0,37
2025-01,2.5,1015.8,30
2025-02,-0.6,1028.8,6
2025-03,7.0,1016.7,24
2025-04,11.8,1017.1,30
2025-05,12.1,1013.7,73
2025-06,18.6,1016.4,48
2025-07,20.0,1011.1,54
2025-08,19.5,1015.3,10
2025-09,16.4,1019.7,21
2025-10,8.8,1014.3,69
2025-11,4.4,1015.8,29
2025-12,2.4,1021.0,19
2026-01,-5.5,1013.7,21
2026-02,-2.4,1012.1,19
2026-03,7.8,1020.3,2
