date,avg_temperature,avg_airpressure,avg_precipitation
2013-05,10.0(-0.5),1012.1,46
2013-06,12.7(-0.7),1017.8,61
2013-07,16.7(+1.6),1019.2,69
2013-08,15.6(+0.7),1016.0,49
2013-09,13.0(-0.1),1015.3,35
2013-10,11.7(+1.1),1007.9,128
2013-11,6.3(-0.7),1018.3,27
2013-12,6.9(+1.0),1007.1,83
2014-01,5.7(+0.7),994.5,102
2014-02,5.6(+0.6),989.1,88
2014-03,6.8(+0.5),1013.4,54
2014-04,8.9(+1.0),1013.3,34
2014-05,11.3(+0.8),1014.0,92
2014-06,13.6(+0.2),1019.4,36
2014-07,15.8(+0.7),1015.5,35
2014-08,13.9(-1.0),1009.9,173
2014-09,13.1(+0.0),1020.2,27
2014-10,10.9(+0.3),1007.6,90
2014-11,7.7(+0.7),1003.5,141
2014-12,5.4(-0.5),1017.4,56
2015-01,4.7(-0.3),1010.5,48
2015-02,4.0(-1.0),1015.7,35
2015-03,5.8(-0.5),1019.1,58
2015-04,7.4,1021.2,44
2015-05,9.6,1012.5,90
2015-06,13.0,1018.8,14
2015-07,13.8,1012.1,69
2015-08,14.0,1011.7,
2015-09,11.8,1017.3,56
2015-10,10.2,1017.2,49
2015-11,8.7,1011.2,122
2015-12,8.6(+2.7),1008.4,194
2016-01,5.7(+0.7),1003.0,118
2016-02,4.4,1007.4,60
2016-03,5.9(-0.4),1014.3,36
2016-04,6.3,1012.8,88
2016-05,11.2,1014.8,47
2016-06,14.1,1014.1,58
2016-07,15.7(+0.6),1015.1,44
2016-08,15.4(+0.5),1016.4,62
2016-09,14.3,1013.5,56
2016-10,10.6,1021.4,70
2016-11,7.0,1016.0,64
2016-12,6.7,1023.3,46
2017-01,5.0,1021.6,70
2017-02,6.2(+0.9),1010.2,42
2017-03,6.3,1011.8,54
2017-04,8.1,1023.3,10
2017-05,10.5,1015.4,55
2017-06,13.4,1011.3,56
2017-07,15.0,1012.5,42
2017-08,14.9,1014.2,71
2017-09,12.4,1011.1,82
2017-10,10.6,1014.6,70
2017-11,6.4,1016.1,82
2017-12,5.9,1012.9,76
2018-01,5.3,1007.2,93
2018-02,3.4,1016.8,27
2018-03,4.3,1001.4,151
2018-04,8.1,1008.5,69
2018-05,11.4,1018.1,19
2018-06,14.5,1019.6,5
2018-07,16.1,1016.3,40
2018-08,15.4,1014.9,48
2018-09,12.2,1019.0,44
2018-10,9.3,1017.5,43
2018-11,8.2,1006.7,131
2018-12,7.7,1011.8,80
2019-01,5.1,1018.6,27
2019-02,6.9,1014.6,30
2019-03,7.3,1013.9,93
2019-04,8.0,1012.7,73
2019-05,10.3,1017.6,33
2019-06,12.6,1013.3,83
2019-07,16.0,1015.5,42
2019-08,15.5,1010.4,92
2019-09,13.0,1015.6,104
2019-10,9.0,1009.0,77
2019-11,6.0,1000.9,173
2019-12,5.9(+0.3),1004.6,58
2020-01,6.3(+1.0),1014.6,36
2020-02,5.8,1004.0,129
2020-03,5.8(-0.9),1015.1,32
2020-04,8.5(+0.4),1017.1,13
2020-05,10.9,1021.5,9
2020-06,13.4(+0.0),1012.0,70
2020-07,14.4(-1.0),1015.1,99
2020-08,14.7(-0.4),1011.0,87
2020-09,12.8(-0.3),1016.3,61
2020-10,9.5(-0.8),1006.3,81
2020-11,8.2(+0.9),1014.5,48
2020-12,4.9,1000.6,83
2021-01,3.9,1011.2,116
2021-02,6.2,1008.7,55
2021-03,7.2,1019.8,32
2021-04,5.6(-2.5),1024.5,11
2021-05,9.2,1008.1,82
2021-06,13.7,1019.0,13
2021-07,16.1,1014.9,69
2021-08,14.8,1016.3,66
2021-09,14.8,1016.3,66
2021-10,11.9,1010.7,72
2021-11,7.7,1011.0,11
2021-12,6.5(+0.9),1009.6,86
2022-01,5.4,1024.2,14
2022-02,6.7,1011.2,91
2022-03,6.7,1020.4,45
2022-04,7.6,1016.3,28
2022-05,11.9,1016.3,48
2022-06,13.6,1013.9,44
2022-07,16.5,1020.6,29
2022-08,16.0,1018.1,62
2022-09,13.0,1021.9,127
2022-10,11.9,1008.8,101
2022-11,8.9,1001.5,46
2022-12,4.4(-1.2),1008.8,74
2023-01,6.0(+0.7),1009.9,41
2023-02,7.2(+1.9),1027.1,16
2023-03,7.0(+0.3),1004.9,119
2023-04,8.7(+0.6),1015.1,78
2023-05,11.8,1023.6,36
2023-06,15.3(+1.9),1017.4,49
2023-07,14.9(-0.5),1007.8,149
2023-08,15.4(+0.3),1012.0,119
2023-09,14.5(+1.4),1011.7,134
2023-10,11.3(+1.0),1004.5,126
2023-11,7.3(+0.0),1003.4,65
2023-12,7.5(+1.9),1007.0,69
2024-01,5.0(-0.3),1015.3,61
2024-02,7.3(+2.0),1006.3,74
2024-03,7.0(+0.3),1001.5,115
2024-04,8.5(+0.4),1011.0,70
2024-05,13.0(+2.3),1012.8,37
2024-06,13.1(-0.3),1014.5,30
2024-07,14.9(-0.5),1013.1,38
2024-08,15.4(+0.3),1010.3,37
2024-09,12.2(-0.9),1015.9,60
2024-10,11.3(+1.0),1011.1,48
2024-11,8.1(+0.8),1018.2,54
2024-12,7.2(+1.6),1020.8,46
2025-01,4.3(-1.0),1010.2,73
2025-02,6.3(+1.0),1017.8,48
2025-03,7.6,1024.2,10
2025-04,9.6,1016.4,90
2025-05,11.2,1018.8,45
2025-06,15.0(+1.6),1013.5,79
2025-07,16.6(+1.2),1015.7,80
2025-08,16.3(+1.2),1014.7,32
2025-09,12.7(-0.4),1011.3,91
2025-10,11.2(+0.9),1012.3,90
2025-11,8.2(+0.9),1007.0,119
2025-12,7.4(+1.8),1010.2,48
2026-01,4.6(-0.7),999.2,138
2026-02,6.5(+1.2),999.3,134
2026-03,7.5(+0.8),1015.4,57
